"filename", "language", "C#", "XML", "comment", "blank", "total"
"d:\Code\CsharpProject\DbfTestApplication\DAL\Dapper\DBUtil.cs", "C#", 44, 0, 11, 1, 56
"d:\Code\CsharpProject\DbfTestApplication\DAL\Dapper\DbHelper.cs", "C#", 433, 0, 139, 15, 587
"d:\Code\CsharpProject\DbfTestApplication\DAL\Dapper\Log.cs", "C#", 24, 0, 3, 1, 28
"d:\Code\CsharpProject\DbfTestApplication\DAL\Dapper\SqlUtil.cs", "C#", 257, 0, 102, 52, 411
"d:\Code\CsharpProject\DbfTestApplication\DAL\DbConfigHelper.cs", "C#", 25, 0, 0, 7, 32
"d:\Code\CsharpProject\DbfTestApplication\DAL\Main_DAL.cs", "C#", 43, 0, 44, 9, 96
"d:\Code\CsharpProject\DbfTestApplication\DAL\OperateLog_DAL.cs", "C#", 16, 0, 5, 2, 23
"d:\Code\CsharpProject\DbfTestApplication\DbfTest.csproj", "XML", 0, 577, 0, 0, 577
"d:\Code\CsharpProject\DbfTestApplication\FUNCTION\ConfigLoader.cs", "C#", 11, 0, 0, 2, 13
"d:\Code\CsharpProject\DbfTestApplication\FUNCTION\Datalogger.cs", "C#", 11, 0, 0, 2, 13
"d:\Code\CsharpProject\DbfTestApplication\FUNCTION\DeviceConnectionManager.cs", "C#", 157, 0, 8, 20, 185
"d:\Code\CsharpProject\DbfTestApplication\FUNCTION\KtNAController.cs", "C#", 61, 0, 39, 11, 111
"d:\Code\CsharpProject\DbfTestApplication\FUNCTION\LanScanFunc.cs", "C#", 100, 0, 49, 18, 167
"d:\Code\CsharpProject\DbfTestApplication\FUNCTION\ScpiDevice.cs", "C#", 569, 0, 122, 104, 795
"d:\Code\CsharpProject\DbfTestApplication\FUNCTION\SerialScanFunc.cs", "C#", 60, 0, 0, 11, 71
"d:\Code\CsharpProject\DbfTestApplication\FUNCTION\VisualizationManager.cs", "C#", 11, 0, 0, 2, 13
"d:\Code\CsharpProject\DbfTestApplication\MODEL\DbConfig.cs", "C#", 25, 0, 0, 4, 29
"d:\Code\CsharpProject\DbfTestApplication\MODEL\DeviceInfo.cs", "C#", 25, 0, 0, 4, 29
"d:\Code\CsharpProject\DbfTestApplication\MODEL\LanScanConfig.cs", "C#", 18, 0, 0, 3, 21
"d:\Code\CsharpProject\DbfTestApplication\MODEL\MeasurementBatch.cs", "C#", 20, 0, 0, 3, 23
"d:\Code\CsharpProject\DbfTestApplication\MODEL\MeasurementResult.cs", "C#", 28, 0, 0, 2, 30
"d:\Code\CsharpProject\DbfTestApplication\MODEL\OperateLog.cs", "C#", 19, 0, 0, 3, 22
"d:\Code\CsharpProject\DbfTestApplication\MODEL\SerialScanConfig.cs", "C#", 17, 0, 0, 2, 19
"d:\Code\CsharpProject\DbfTestApplication\MODEL\SpectrumData.cs", "C#", 23, 0, 0, 3, 26
"d:\Code\CsharpProject\DbfTestApplication\Main.Designer.cs", "C#", 163, 0, 62, 8, 233
"d:\Code\CsharpProject\DbfTestApplication\Main.cs", "C#", 164, 0, 24, 19, 207
"d:\Code\CsharpProject\DbfTestApplication\Main_Form.Designer.cs", "C#", 806, 0, 227, 6, 1039
"d:\Code\CsharpProject\DbfTestApplication\Main_Form.cs", "C#", 3551, 0, 304, 487, 4342
"d:\Code\CsharpProject\DbfTestApplication\PAGE\ChargeControl_Form.Designer.cs", "C#", 179, 0, 56, 5, 240
"d:\Code\CsharpProject\DbfTestApplication\PAGE\ChargeControl_Form.cs", "C#", 115, 0, 0, 15, 130
"d:\Code\CsharpProject\DbfTestApplication\PAGE\DeviceAddres_Form.Designer.cs", "C#", 869, 0, 236, 6, 1111
"d:\Code\CsharpProject\DbfTestApplication\PAGE\DeviceAddres_Form.cs", "C#", 93, 0, 0, 13, 106
"d:\Code\CsharpProject\DbfTestApplication\PAGE\DeviceAddressNew_Form.Designer.cs", "C#", 471, 0, 140, 6, 617
"d:\Code\CsharpProject\DbfTestApplication\PAGE\DeviceAddressNew_Form.cs", "C#", 178, 0, 14, 23, 215
"d:\Code\CsharpProject\DbfTestApplication\PAGE\DeviceFiles_Form.Designer.cs", "C#", 327, 0, 101, 6, 434
"d:\Code\CsharpProject\DbfTestApplication\PAGE\DeviceFiles_Form.cs", "C#", 140, 0, 14, 17, 171
"d:\Code\CsharpProject\DbfTestApplication\PAGE\DeviceList_Add_Form.Designer.cs", "C#", 194, 0, 54, 5, 253
"d:\Code\CsharpProject\DbfTestApplication\PAGE\DeviceList_Add_Form.cs", "C#", 95, 0, 0, 15, 110
"d:\Code\CsharpProject\DbfTestApplication\PAGE\DeviceManage_Form.Designer.cs", "C#", 112, 0, 44, 6, 162
"d:\Code\CsharpProject\DbfTestApplication\PAGE\DeviceManage_Form.cs", "C#", 136, 0, 0, 14, 150
"d:\Code\CsharpProject\DbfTestApplication\PAGE\GonglvSet_Form.Designer.cs", "C#", 99, 0, 35, 6, 140
"d:\Code\CsharpProject\DbfTestApplication\PAGE\GonglvSet_Form.cs", "C#", 22, 0, 0, 4, 26
"d:\Code\CsharpProject\DbfTestApplication\PAGE\LANSet_Form.Designer.cs", "C#", 316, 0, 90, 5, 411
"d:\Code\CsharpProject\DbfTestApplication\PAGE\LANSet_Form.cs", "C#", 117, 0, 0, 21, 138
"d:\Code\CsharpProject\DbfTestApplication\PAGE\ManualSend_Form.Designer.cs", "C#", 370, 0, 110, 5, 485
"d:\Code\CsharpProject\DbfTestApplication\PAGE\ManualSend_Form.cs", "C#", 342, 0, 26, 36, 404
"d:\Code\CsharpProject\DbfTestApplication\PAGE\PinpuControl_Form.Designer.cs", "C#", 374, 0, 113, 6, 493
"d:\Code\CsharpProject\DbfTestApplication\PAGE\PinpuControl_Form.cs", "C#", 214, 0, 3, 34, 251
"d:\Code\CsharpProject\DbfTestApplication\PAGE\SerialSet_Form.Designer.cs", "C#", 194, 0, 56, 6, 256
"d:\Code\CsharpProject\DbfTestApplication\PAGE\SerialSet_Form.cs", "C#", 56, 0, 0, 8, 64
"d:\Code\CsharpProject\DbfTestApplication\PAGE\SqlSet_Form.Designer.cs", "C#", 177, 0, 56, 6, 239
"d:\Code\CsharpProject\DbfTestApplication\PAGE\SqlSet_Form.cs", "C#", 87, 0, 0, 10, 97
"d:\Code\CsharpProject\DbfTestApplication\PAGE\TestData_Form.Designer.cs", "C#", 345, 0, 113, 6, 464
"d:\Code\CsharpProject\DbfTestApplication\PAGE\TestData_Form.cs", "C#", 145, 0, 9, 25, 179
"d:\Code\CsharpProject\DbfTestApplication\PAGE\TestSet_Form.Designer.cs", "C#", 948, 0, 308, 6, 1262
"d:\Code\CsharpProject\DbfTestApplication\PAGE\TestSet_Form.cs", "C#", 107, 0, 0, 8, 115
"d:\Code\CsharpProject\DbfTestApplication\PAGE\TestSet_New_Form.Designer.cs", "C#", 362, 0, 113, 6, 481
"d:\Code\CsharpProject\DbfTestApplication\PAGE\TestSet_New_Form.cs", "C#", 107, 0, 0, 11, 118
"d:\Code\CsharpProject\DbfTestApplication\PAGE\VNAFile_Form.Designer.cs", "C#", 172, 0, 53, 5, 230
"d:\Code\CsharpProject\DbfTestApplication\PAGE\VNAFile_Form.cs", "C#", 212, 0, 0, 21, 233
"d:\Code\CsharpProject\DbfTestApplication\PAGE\VNAFile_Form_Old.Designer.cs", "C#", 2076, 0, 623, 6, 2705
"d:\Code\CsharpProject\DbfTestApplication\PAGE\VNAFile_Form_Old.cs", "C#", 192, 0, 0, 18, 210
"d:\Code\CsharpProject\DbfTestApplication\PAGE\WaitForm\FashejingduWait_Form.Designer.cs", "C#", 206, 0, 68, 6, 280
"d:\Code\CsharpProject\DbfTestApplication\PAGE\WaitForm\FashejingduWait_Form.cs", "C#", 31, 0, 1, 3, 35
"d:\Code\CsharpProject\DbfTestApplication\PAGE\WaitForm\JieshoujingduWait_Form.Designer.cs", "C#", 206, 0, 68, 6, 280
"d:\Code\CsharpProject\DbfTestApplication\PAGE\WaitForm\JieshoujingduWait_Form.cs", "C#", 31, 0, 1, 3, 35
"d:\Code\CsharpProject\DbfTestApplication\PAGE\WaitForm\RecieveTestWait_Form.Designer.cs", "C#", 206, 0, 68, 6, 280
"d:\Code\CsharpProject\DbfTestApplication\PAGE\WaitForm\RecieveTestWait_Form.cs", "C#", 31, 0, 1, 4, 36
"d:\Code\CsharpProject\DbfTestApplication\PAGE\WaitForm\SendTestWait_Form.Designer.cs", "C#", 206, 0, 68, 6, 280
"d:\Code\CsharpProject\DbfTestApplication\PAGE\WaitForm\SendTestWait_Form.cs", "C#", 31, 0, 1, 4, 36
"d:\Code\CsharpProject\DbfTestApplication\PAGE\XinhaoControl_Form.Designer.cs", "C#", 364, 0, 110, 5, 479
"d:\Code\CsharpProject\DbfTestApplication\PAGE\XinhaoControl_Form.cs", "C#", 209, 0, 0, 26, 235
"d:\Code\CsharpProject\DbfTestApplication\Program.cs", "C#", 18, 0, 3, 2, 23
"d:\Code\CsharpProject\DbfTestApplication\Properties\AssemblyInfo.cs", "C#", 15, 0, 17, 5, 37
"d:\Code\CsharpProject\DbfTestApplication\Properties\Resources.Designer.cs", "C#", 45, 0, 28, 11, 84
"d:\Code\CsharpProject\DbfTestApplication\Properties\Settings.Designer.cs", "C#", 13, 0, 8, 6, 27
"d:\Code\CsharpProject\DbfTestApplication\ViewControl\ChargeControl.Designer.cs", "C#", 174, 0, 56, 7, 237
"d:\Code\CsharpProject\DbfTestApplication\ViewControl\ChargeControl.cs", "C#", 204, 0, 6, 32, 242
"d:\Code\CsharpProject\DbfTestApplication\ViewControl\DeviceListControl.Designer.cs", "C#", 134, 0, 50, 7, 191
"d:\Code\CsharpProject\DbfTestApplication\ViewControl\DeviceListControl.cs", "C#", 203, 0, 32, 33, 268
"d:\Code\CsharpProject\DbfTestApplication\ViewControl\PsgControl.Designer.cs", "C#", 147, 0, 47, 7, 201
"d:\Code\CsharpProject\DbfTestApplication\ViewControl\PsgControl.cs", "C#", 195, 0, 2, 34, 231
"d:\Code\CsharpProject\DbfTestApplication\ViewControl\SpectrumControl.Designer.cs", "C#", 416, 0, 149, 9, 574
"d:\Code\CsharpProject\DbfTestApplication\ViewControl\SpectrumControl.cs", "C#", 273, 0, 105, 32, 410
"d:\Code\CsharpProject\DbfTestApplication\ViewControl\VnaControl.Designer.cs", "C#", 174, 0, 56, 7, 237
"d:\Code\CsharpProject\DbfTestApplication\ViewControl\VnaControl.cs", "C#", 198, 0, 6, 33, 237
"Total", "-", 20354, 577, 4457, 1485, 26873
